Order_ID,Order_Date,Customer_Name,Region,Salesperson,Category,Product,Quantity,Unit_Price,Discount_Percentage,Sales,Cost,Profit
ORD00081,2024-08-12,Urvi Char,East,Rohit,Accessories,Mouse,2,800,5,1520.0,1000,520.0
ORD00082,2025-07-15,Simon Nigam,South,Rohit,Accessories,Mouse,4,800,0,3200.0,2000,1200.0
ORD00083,2026-05-21,Bhavika Sama,West,Rahul,Electronics,Monitor,10,15000,15,127500.0,110000,17500.0
ORD00084,2024-08-12,Upadhriti Oak,North,Sneha,Electronics,Laptop,3,60000,15,153000.0,135000,18000.0
ORD00085,2025-03-04,Unnati Sankar,East,Rahul,Accessories,Mouse,7,800,5,5320.0,3500,1820.0
ORD00086,2024-10-19,Jacob Mukherjee,West,Karan,Electronics,Printer,6,12000,15,61200.0,54000,7200.0
ORD00087,2026-06-20,Aahana Madan,North,Priya,Electronics,Laptop,6,60000,0,360000.0,270000,90000.0
ORD00088,2025-09-12,Yadavi Minhas,South,Vikram,Accessories,Mouse,6,800,5,4560.0,3000,1560.0
ORD00089,2025-04-18,Siya Rajan,West,Vikram,Accessories,Mouse,6,800,0,4800.0,3000,1800.0
ORD00090,2024-07-07,Darsh Majumdar,North,Rohit,Electronics,Monitor,2,15000,15,25500.0,22000,3500.0
ORD00091,2025-09-21,Urvashi Bhatia,West,Anjali,Electronics,Printer,8,12000,20,76800.0,72000,4800.0
ORD00092,2025-01-02,Indrajit Dutta,North,Priya,Accessories,Mouse,5,800,10,3600.0,2500,1100.0
ORD00093,2025-03-10,Arin Manda,South,Amit,Accessories,Mouse,5,800,5,3800.0,2500,1300.0
ORD00094,2025-04-27,Maanav Mukherjee,East,Priya,Electronics,Monitor,10,15000,15,127500.0,110000,17500.0
ORD00095,2025-05-12,Unnati Mani,West,Amit,Electronics,Laptop,4,60000,5,228000.0,180000,48000.0
ORD00096,2025-06-01,Divya Dua,South,Anjali,Accessories,Mouse,5,800,5,3800.0,2500,1300.0
ORD00097,2025-07-19,Owen Lal,East,Sneha,Electronics,Laptop,2,60000,15,102000.0,90000,12000.0
ORD00098,2025-10-10,Ganga Prabhu,West,Amit,Accessories,Mouse,3,800,10,2160.0,1500,660.0
ORD00099,2026-02-06,Samarth Prasad,North,Pooja,Accessories,Keyboard,2,2500,5,4750.0,3600,1150.0
ORD00100,2026-06-08,Saksham Walia,South,Neha,Electronics,Monitor,9,15000,10,121500.0,99000,22500.0
ORD00101,2025-11-26,Amol Chaudhry,North,Karan,Electronics,Monitor,3,15000,15,38250.0,33000,5250.0
ORD00102,2025-08-13,Yochana Krishna,West,Pooja,Electronics,Printer,8,12000,10,86400.0,72000,14400.0
ORD00103,2024-10-19,Ranbir Chandra,West,Amit,Electronics,Monitor,6,15000,20,72000.0,66000,6000.0
ORD00104,2025-01-09,Warinder Purohit,North,Neha,Accessories,Mouse,3,800,0,2400.0,1500,900.0
ORD00105,2025-02-18,Anusha Chada,North,Amit,Electronics,Laptop,6,60000,15,306000.0,270000,36000.0
ORD00106,2026-06-17,Balhaar Banik,South,Priya,Electronics,Laptop,7,60000,15,357000.0,315000,42000.0
ORD00107,2025-03-27,Keya Narain,West,Rohit,Accessories,Keyboard,8,2500,5,19000.0,14400,4600.0
ORD00108,2024-09-17,Omya Goyal,East,Neha,Electronics,Printer,5,12000,0,60000.0,45000,15000.0
ORD00109,2026-02-01,Niharika Ratti,North,Karan,Accessories,Mouse,4,800,0,3200.0,2000,1200.0
ORD00110,2025-01-18,Harsh Sehgal,West,Priya,Accessories,Keyboard,3,2500,15,6375.0,5400,975.0
ORD00111,2026-04-01,Lajita Khalsa,South,Rahul,Accessories,Keyboard,7,2500,5,16625.0,12600,4025.0
ORD00112,2024-09-18,Praneel Kaur,South,Rohit,Electronics,Laptop,1,60000,0,60000.0,45000,15000.0
ORD00113,2024-09-26,Hemang Buch,North,Vikram,Accessories,Mouse,5,800,5,3800.0,2500,1300.0
ORD00114,2025-04-06,Darsh Sankar,North,Sneha,Accessories,Mouse,9,800,0,7200.0,4500,2700.0
ORD00115,2026-03-17,Dhriti Johal,West,Neha,Electronics,Printer,3,12000,5,34200.0,27000,7200.0
ORD00116,2024-09-12,Nandini Boase,East,Rohit,Accessories,Keyboard,8,2500,10,18000.0,14400,3600.0
ORD00117,2025-10-03,Chaaya Wason,East,Sneha,Electronics,Laptop,3,60000,5,171000.0,135000,36000.0
ORD00118,2025-07-29,Dayita Parmer,North,Amit,Electronics,Printer,1,12000,15,10200.0,9000,1200.0
ORD00119,2025-10-26,Gautam Bera,East,Amit,Electronics,Monitor,7,15000,10,94500.0,77000,17500.0
ORD00120,2025-04-05,Avni Bhakta,West,Anjali,Accessories,Keyboard,2,2500,15,4250.0,3600,650.0
ORD00121,2025-03-31,Zansi Mahajan,West,Rahul,Electronics,Laptop,3,60000,0,180000.0,135000,45000.0
ORD00122,2025-08-26,Meera Kumar,East,Sneha,Electronics,Printer,5,12000,15,51000.0,45000,6000.0
ORD00123,2025-07-03,Frado Pradhan,West,Karan,Accessories,Mouse,8,800,10,5760.0,4000,1760.0
ORD00124,2026-01-04,Warda Raman,East,Vikram,Accessories,Mouse,9,800,5,6840.0,4500,2340.0
ORD00125,2026-01-03,Maanas Nazareth,East,Sneha,Accessories,Mouse,8,800,5,6080.0,4000,2080.0
ORD00126,2026-06-23,Pallavi Dalal,West,Rahul,Electronics,Laptop,1,60000,0,60000.0,45000,15000.0
ORD00127,2024-11-11,Timothy Sen,South,Amit,Accessories,Mouse,7,800,10,5040.0,3500,1540.0
ORD00128,2026-02-27,Rachana Memon,East,Priya,Accessories,Keyboard,7,2500,0,17500.0,12600,4900.0
ORD00129,2026-04-11,Chatresh Chatterjee,West,Karan,Electronics,Printer,6,12000,5,68400.0,54000,14400.0
ORD00130,2025-06-21,Jagat Baral,South,Rahul,Electronics,Monitor,1,15000,10,13500.0,11000,2500.0
ORD00131,2026-07-03,Daksh Dua,West,Priya,Electronics,Laptop,2,60000,5,114000.0,90000,24000.0
ORD00132,2025-11-15,Luke Sodhi,South,Rohit,Electronics,Laptop,2,60000,0,120000.0,90000,30000.0
ORD00133,2025-07-01,Rayaan Viswanathan,East,Karan,Electronics,Printer,9,12000,0,108000.0,81000,27000.0
ORD00134,2025-04-08,Girindra Lata,South,Pooja,Electronics,Laptop,7,60000,10,378000.0,315000,63000.0
ORD00135,2024-07-22,Christopher Samra,North,Rahul,Electronics,Printer,6,12000,10,64800.0,54000,10800.0
ORD00136,2026-02-26,Aarna Toor,East,Rohit,Electronics,Laptop,4,60000,0,240000.0,180000,60000.0
ORD00137,2025-08-10,Champak Shah,South,Amit,Accessories,Mouse,6,800,10,4320.0,3000,1320.0
ORD00138,2025-07-30,Dalbir Shenoy,East,Priya,Electronics,Printer,1,12000,5,11400.0,9000,2400.0
ORD00139,2025-06-05,Dakshesh Bhat,North,Anjali,Electronics,Laptop,9,60000,20,432000.0,405000,27000.0
ORD00140,2024-10-10,Siddharth Sant,East,Neha,Electronics,Laptop,6,60000,10,324000.0,270000,54000.0
ORD00141,2025-12-13,Anusha Mital,North,Amit,Electronics,Monitor,3,15000,0,45000.0,33000,12000.0
ORD00142,2025-08-30,Urishilla Karpe,North,Karan,Electronics,Laptop,1,60000,10,54000.0,45000,9000.0
ORD00143,2025-09-05,Xavier Kade,East,Pooja,Accessories,Keyboard,5,2500,15,10625.0,9000,1625.0
ORD00144,2026-06-19,Laksh Kurian,West,Sneha,Electronics,Laptop,10,60000,5,570000.0,450000,120000.0
ORD00145,2025-05-14,Nathaniel Om,North,Karan,Accessories,Mouse,2,800,5,1520.0,1000,520.0
ORD00146,2026-03-03,Yashasvi Tara,North,Vikram,Electronics,Laptop,2,60000,10,108000.0,90000,18000.0
ORD00147,2025-03-02,Bhavna Chaudhuri,West,Neha,Accessories,Keyboard,7,2500,5,16625.0,12600,4025.0
ORD00148,2026-05-24,Arjun Tiwari,South,Priya,Electronics,Monitor,10,15000,5,142500.0,110000,32500.0
ORD00149,2025-12-03,Odika Vala,South,Karan,Electronics,Printer,3,12000,15,30600.0,27000,3600.0
ORD00150,2024-11-16,Hema Kar,West,Neha,Electronics,Monitor,4,15000,15,51000.0,44000,7000.0
ORD00151,2026-03-20,Thomas Patel,East,Rahul,Electronics,Laptop,7,60000,20,336000.0,315000,21000.0
ORD00152,2025-07-30,Naksh Bhargava,South,Vikram,Electronics,Monitor,5,15000,20,60000.0,55000,5000.0
ORD00153,2024-12-13,Laksh Aggarwal,West,Rahul,Electronics,Monitor,3,15000,0,45000.0,33000,12000.0
ORD00154,2025-10-19,Rachita Nair,South,Amit,Electronics,Printer,5,12000,10,54000.0,45000,9000.0
ORD00155,2024-07-10,Kalpit Behl,West,Rahul,Accessories,Keyboard,4,2500,0,10000.0,7200,2800.0
ORD00156,2025-03-05,Shivansh Raj,East,Anjali,Accessories,Keyboard,2,2500,15,4250.0,3600,650.0
ORD00157,2025-04-08,Anamika Halder,North,Amit,Electronics,Printer,10,12000,10,108000.0,90000,18000.0
ORD00158,2025-09-15,Bishakha Datta,West,Priya,Electronics,Printer,6,12000,15,61200.0,54000,7200.0
ORD00159,2024-08-15,Waida Sama,West,Sneha,Accessories,Mouse,1,800,20,640.0,500,140.0
ORD00160,2026-06-18,Kevin Koshy,South,Sneha,Electronics,Laptop,3,60000,20,144000.0,135000,9000.0
ORD00161,2025-05-07,Mekhala Trivedi,South,Karan,Accessories,Mouse,4,800,15,2720.0,2000,720.0
ORD00162,2026-07-02,Urmi Bera,East,Karan,Electronics,Printer,5,12000,15,51000.0,45000,6000.0
ORD00163,2026-01-14,Samaksh Buch,North,Priya,Electronics,Laptop,4,60000,10,216000.0,180000,36000.0
ORD00164,2026-06-21,Adweta Tandon,North,Rahul,Electronics,Printer,1,12000,10,10800.0,9000,1800.0
ORD00165,2025-01-28,Qasim Dasgupta,North,Vikram,Electronics,Laptop,2,60000,20,96000.0,90000,6000.0
ORD00166,2025-04-24,Arya Wagle,South,Amit,Electronics,Monitor,3,15000,10,40500.0,33000,7500.0
ORD00167,2026-03-25,Lavanya Boase,West,Rohit,Accessories,Keyboard,8,2500,15,17000.0,14400,2600.0
ORD00168,2024-08-22,Ubika Hora,North,Amit,Accessories,Keyboard,4,2500,5,9500.0,7200,2300.0
ORD00169,2024-10-05,Dayamai Arya,South,Pooja,Electronics,Monitor,2,15000,15,25500.0,22000,3500.0
ORD00170,2024-10-09,Nirja Om,North,Sneha,Electronics,Printer,10,12000,15,102000.0,90000,12000.0
ORD00171,2025-08-02,Simon Shere,South,Pooja,Electronics,Printer,6,12000,0,72000.0,54000,18000.0
ORD00172,2025-11-13,Ishita Deep,West,Vikram,Accessories,Mouse,8,800,15,5440.0,4000,1440.0
ORD00173,2025-10-12,Darpan Pau,West,Priya,Electronics,Printer,7,12000,10,75600.0,63000,12600.0
ORD00174,2026-07-02,Devansh Kakar,West,Pooja,Electronics,Printer,6,12000,20,57600.0,54000,3600.0
ORD00175,2025-09-05,Gautam Sura,West,Rohit,Accessories,Keyboard,9,2500,0,22500.0,16200,6300.0
ORD00176,2024-12-31,Champak Sachar,East,Pooja,Electronics,Laptop,10,60000,0,600000.0,450000,150000.0
ORD00177,2026-03-27,Ronith Raja,North,Priya,Electronics,Monitor,7,15000,5,99750.0,77000,22750.0
ORD00178,2025-03-22,Wishi Mallick,East,Rohit,Electronics,Laptop,3,60000,10,162000.0,135000,27000.0
ORD00179,2025-10-05,Ekansh Agate,East,Rohit,Electronics,Laptop,8,60000,15,408000.0,360000,48000.0
ORD00180,2024-11-16,Avni Sant,North,Pooja,Electronics,Printer,8,12000,15,81600.0,72000,9600.0
ORD00181,2024-12-06,Yashica Nanda,West,Rahul,Accessories,Mouse,4,800,10,2880.0,2000,880.0
ORD00182,2025-07-03,Yahvi Ravi,North,Sneha,Accessories,Keyboard,4,2500,0,10000.0,7200,2800.0
ORD00183,2025-09-10,Sara Gola,South,Neha,Accessories,Keyboard,10,2500,0,25000.0,18000,7000.0
ORD00184,2025-09-07,Amaira Chanda,South,Vikram,Electronics,Printer,9,12000,15,91800.0,81000,10800.0
ORD00185,2024-09-23,Mitesh Mall,East,Karan,Accessories,Mouse,10,800,0,8000.0,5000,3000.0
ORD00186,2024-11-17,Tanmayi Buch,West,Sneha,Electronics,Printer,3,12000,10,32400.0,27000,5400.0
ORD00187,2025-10-06,Ekbal Patla,East,Rahul,Electronics,Printer,2,12000,20,19200.0,18000,1200.0
ORD00188,2024-07-11,Yashica Kant,North,Priya,Accessories,Mouse,4,800,5,3040.0,2000,1040.0
ORD00189,2025-04-29,Falan Dubey,North,Karan,Electronics,Printer,3,12000,0,36000.0,27000,9000.0
ORD00190,2024-07-24,Jonathan Ganguly,East,Priya,Accessories,Keyboard,3,2500,15,6375.0,5400,975.0
ORD00191,2024-11-16,Bishakha Deol,South,Neha,Electronics,Laptop,8,60000,15,408000.0,360000,48000.0
ORD00192,2026-06-16,Krish Mohanty,West,Rohit,Electronics,Monitor,8,15000,20,96000.0,88000,8000.0
ORD00193,2026-06-30,Henry Sawhney,South,Vikram,Electronics,Monitor,5,15000,15,63750.0,55000,8750.0
ORD00194,2024-08-18,Atharv Sami,East,Pooja,Electronics,Printer,5,12000,10,54000.0,45000,9000.0
ORD00195,2024-11-02,Max Chauhan,West,Neha,Electronics,Monitor,8,15000,15,102000.0,88000,14000.0
ORD00196,2026-05-06,Jagvi Hora,East,Sneha,Electronics,Monitor,6,15000,5,85500.0,66000,19500.0
ORD00197,2025-10-28,Tejas Minhas,West,Rohit,Electronics,Printer,7,12000,0,84000.0,63000,21000.0
ORD00198,2024-09-01,Ikshita Kalita,West,Karan,Electronics,Printer,5,12000,5,57000.0,45000,12000.0
ORD00199,2026-03-02,Tristan Karan,South,Karan,Electronics,Laptop,3,60000,15,153000.0,135000,18000.0
ORD00200,2025-07-03,Yuvraj Chaudhuri,North,Pooja,Electronics,Monitor,6,15000,15,76500.0,66000,10500.0
ORD00201,2025-07-17,Timothy Ray,South,Amit,Electronics,Monitor,7,15000,10,94500.0,77000,17500.0
ORD00202,2025-02-12,Advaith Maharaj,North,Pooja,Accessories,Mouse,6,800,15,4080.0,3000,1080.0
ORD00203,2025-03-11,Ishaan Shah,East,Amit,Electronics,Monitor,8,15000,20,96000.0,88000,8000.0
ORD00204,2025-11-24,Oni Lalla,North,Rohit,Electronics,Printer,8,12000,5,91200.0,72000,19200.0
ORD00205,2026-01-15,Darpan Garde,West,Sneha,Accessories,Keyboard,4,2500,15,8500.0,7200,1300.0
ORD00206,2025-08-02,Anamika Nair,North,Vikram,Accessories,Mouse,5,800,0,4000.0,2500,1500.0
ORD00207,2024-08-05,Meghana Kar,West,Neha,Electronics,Printer,2,12000,0,24000.0,18000,6000.0
ORD00208,2025-05-01,Tarak Oza,North,Rohit,Electronics,Printer,8,12000,0,96000.0,72000,24000.0
ORD00209,2025-11-28,Ekbal Shanker,South,Neha,Electronics,Monitor,4,15000,5,57000.0,44000,13000.0
ORD00210,2026-02-25,Abhiram Choudhury,East,Anjali,Accessories,Mouse,10,800,10,7200.0,5000,2200.0
ORD00211,2025-11-12,Vritti Parikh,West,Vikram,Electronics,Printer,5,12000,15,51000.0,45000,6000.0
ORD00212,2026-03-24,Widisha Madan,North,Rohit,Electronics,Monitor,10,15000,5,142500.0,110000,32500.0
ORD00213,2025-02-08,Darika Goyal,North,Rohit,Electronics,Monitor,9,15000,10,121500.0,99000,22500.0
ORD00214,2025-10-22,Ekaja Sarna,South,Pooja,Accessories,Keyboard,6,2500,5,14250.0,10800,3450.0
ORD00215,2026-05-15,Gagan Golla,West,Karan,Accessories,Mouse,1,800,10,720.0,500,220.0
ORD00216,2025-06-18,Chaitaly Mahal,East,Rahul,Accessories,Mouse,6,800,5,4560.0,3000,1560.0
ORD00217,2025-05-31,Upadhriti Bajaj,South,Rahul,Electronics,Laptop,6,60000,0,360000.0,270000,90000.0
ORD00218,2026-05-19,Darsh Chauhan,West,Neha,Electronics,Printer,3,12000,10,32400.0,27000,5400.0
ORD00219,2026-04-12,Ria Chauhan,South,Amit,Accessories,Keyboard,9,2500,5,21375.0,16200,5175.0
ORD00220,2026-03-18,Oviya Butala,South,Karan,Electronics,Monitor,10,15000,10,135000.0,110000,25000.0
ORD00221,2026-02-08,Vritti Balan,South,Pooja,Electronics,Laptop,10,60000,0,600000.0,450000,150000.0
ORD00222,2025-02-01,Arin Mangal,North,Rohit,Electronics,Laptop,10,60000,5,570000.0,450000,120000.0
ORD00223,2025-10-08,Dalaja Pillay,South,Rahul,Electronics,Laptop,4,60000,10,216000.0,180000,36000.0
ORD00224,2024-07-09,Hema Ravel,East,Sneha,Accessories,Mouse,6,800,0,4800.0,3000,1800.0
ORD00225,2024-11-07,Ayaan Sengupta,East,Rohit,Accessories,Mouse,8,800,5,6080.0,4000,2080.0
ORD00226,2025-07-30,Zaid Wagle,West,Neha,Electronics,Monitor,4,15000,15,51000.0,44000,7000.0
ORD00227,2025-10-19,Aradhana Kohli,West,Anjali,Electronics,Laptop,5,60000,0,300000.0,225000,75000.0
ORD00228,2026-01-22,Lohit Walia,West,Amit,Electronics,Laptop,4,60000,5,228000.0,180000,48000.0
ORD00229,2025-03-01,Advaith Hayre,West,Amit,Electronics,Monitor,4,15000,10,54000.0,44000,10000.0
ORD00230,2025-12-20,Arunima Prasad,South,Vikram,Electronics,Printer,1,12000,0,12000.0,9000,3000.0
ORD00231,2026-06-13,Yashodhara Brar,West,Karan,Accessories,Keyboard,2,2500,5,4750.0,3600,1150.0
ORD00232,2025-09-27,Logan Lalla,South,Karan,Accessories,Keyboard,2,2500,5,4750.0,3600,1150.0
ORD00233,2026-05-12,Shravya Dutta,East,Sneha,Accessories,Keyboard,3,2500,20,6000.0,5400,600.0
ORD00234,2025-04-07,Aarini Mitter,West,Neha,Electronics,Laptop,6,60000,15,306000.0,270000,36000.0
ORD00235,2026-05-04,Ishani Chaudhuri,South,Neha,Electronics,Monitor,3,15000,20,36000.0,33000,3000.0
ORD00236,2026-03-28,Yoshita Devi,East,Karan,Electronics,Monitor,2,15000,20,24000.0,22000,2000.0
ORD00237,2025-03-02,Saumya Bhatnagar,North,Sneha,Accessories,Keyboard,1,2500,5,2375.0,1800,575.0
ORD00238,2025-10-25,Gaurika Gera,West,Sneha,Electronics,Monitor,10,15000,20,120000.0,110000,10000.0
